2017 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Planís Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9003,Local CCP,KAISER FOUNDATION HP OF THE N W,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,4,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9047,Local CCP,PROVIDENCE HEALTH ASSURANCE,Providence Health Assurance,Providence Health & Services,4,4,5,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9082,Local CCP,"MOLINA HEALTHCARE OF NEW MEXICO, INC.","Molina Healthcare of New Mexico, Inc.","Molina Healthcare, Inc.,",4,4,3,5,Not enough data available,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9096,Local CCP,"DEAN HEALTH PLAN, INC.",Dean Advantage,SSM Healthcare Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9104,Local CCP,SCAN HEALTH PLAN,SCAN Health Plan,SCAN Health Plan,Not enough data available,Not enough data available,Not enough data available,4,Not enough data available,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9115,Demo,"METROPLUS HEALTH PLAN, INC.",MetroPlus FIDA,New York City Health and Hospitals Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9153,Local CCP,"WEST VIRGINIA SENIOR ADVANTAGE, INC.",West Virginia Senior Advantage (HMO SNP),"Stonerise Senior Advantage Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9162,Local CCP,"CARESOURCE INDIANA, INC.",CareSource,CareSource Management Group Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9190,Local CCP,"GATEWAY HEALTH PLAN OF OHIO, INC.",Gateway Health Medicare Assured,"Gateway Health Plan, LP",2,2,2,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9207,Local CCP,"HEALTH PARTNERS PLANS, INC.",Health Partners Medicare,"Health Partners Plans, Inc.",4,4,2,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9208,Local CCP,RIVERLINK HEALTH,RiverLink Health,Catholic Health Initiatives,Not enough data available,Not enough data available,5,5,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9276,Local CCP,"SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC.",Sunshine Health Medicare Advantage,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9287,Local CCP,"HEALTH NET COMMUNITY SOLUTIONS OF ARIZONA, INC.","Health Net of Arizona, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9302,Local CCP,SOUNDPATH HEALTH,Soundpath Health,Catholic Health Initiatives,3,3,3,4,3,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9312,Local CCP,FRESENIUS HEALTH PLANS INSURANCE COMPANY,Fresenius Health Plans,Fresenius Medicare Care AG & Co. KGaA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9345,Demo,VILLAGE SENIOR SERVICES CORPORATION,VillageCareMAX Full Advantage FIDA,"Village Care of New York, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9403,Local CCP,"EON HEALTH, INC. (SC)",Eon Health,"Eon Health Plan, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9408,Local CCP,"VIBRA HEALTH PLAN, INC.",Vibra Health Plan,"Vibra Health Plan Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9412,Local CCP,"GEISINGER QUALITY OPTIONS, INC.",Geisinger Gold,Geisinger Health System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9460,Local CCP,"CIGNA HEALTHCARE OF ST LOUIS, INC.",Cigna-HealthSpring,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9487,Demo,FIDELIS SECURECARE OF MICHIGAN,Fidelis SecureCare of Michigan,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9525,Local CCP,COMPCARE HEALTH SERVICES INSURANCE CORPORATION,Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,4,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9572,Local CCP,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan Mutual Insuranc,4,3,3,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9576,Demo,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9585,Local CCP,"BOSTON MEDICAL CENTER HEALTH PLAN, INC.",BMC HealthNet Plan Senior Care Options,"BMC Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9589,Local CCP,"EON HEALTH, INC. (GA)",Eon Health,"Eon Health Plan, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9595,Local CCP,"MOLINA HEALTHCARE OF VIRGINIA, INC.",Molina Healthcare of Virginia,"Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9615,Local CCP,"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",4,3,5,4,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9699,Local CCP,"HMO PARTNERS, INC.",Health Advantage,USAble Mutual Insurance Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9712,Demo,"HAP MIDWEST HEALTH PLAN, INC.",HAP Midwest MI Health Link,Henry Ford Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9725,Local CCP,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",Cigna-Healthspring,CIGNA,3,4,4,3,1,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9730,Local CCP,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC",WellCare,"WellCare Health Plans, Inc.",2,3,2,4,4,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9808,Local CCP,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,HealthTeam Advantage,Moses H. Cone Memorial Hospital Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9811,Local CCP,"MAGNOLIA HEALTH PLAN, INC.",Magnolia Health Plan Medicare Advantage,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9834,Local CCP,GUNDERSEN HEALTH PLAN OF MINNESOTA,Senior Preferred,Gundersen Lutheran Health System Inc.,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9869,Demo,"PARTNERS HEALTH PLAN, INC.",Partners Health Plan,"PHSI, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9870,Local CCP,"UNIVERSITY HEALTH CARE, INC.",Passport Advantage,"University Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9877,Local CCP,"VIRGINIA PREMIER HEALTH PLAN, INC.","Virginia Premier Health Plan, Inc.",Virginia Cwlth University Hlth System Authority,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9886,Local CCP,"HMO MISSOURI, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,3,4,Not enough data available,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9915,Local CCP,"MEDSTAR FAMILY CHOICE, INC.","MedStar Family Choice, Inc","Medstar Health, Inc.",3,3,2,4,5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9947,Local CCP,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",Blue Cross Blue Shield of Georgia,Anthem Inc.,3,3,3,3,4,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H9954,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3175,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,2,5,Not enough data available,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3332,Regional CCP,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Florida Blue,Guidewell Mutual Holding Corporation,3,3,3,5,4,5,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3444,Regional CCP,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,2,4,5,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5329,Regional CCP,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5342,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,4,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5826,Regional CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,3,4,4,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5941,Regional CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,2,3,3,4,4,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6694,Regional CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6801,Regional CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7444,Regional CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,3,4,5,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0522,PDP,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0586,PDP,"MVP HEALTH PLAN, INC.",MVP Health Care,"MVP Health Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0655,PDP,TUFTS INSURANCE COMPANY,Tufts Health Plan,"Tufts Associated HMO, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1030,PDP,BCBS OF ALABAMA & UTIC INSURANCE COMPANY,BlueRx (PDP),BlueCross BlueShield of Alabama,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1140,PDP,HEALTHNOW NEW YORK INC.,BlueCross BlueShield of WNY and BlueShield of NENY,HealthNow New York Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1822,PDP,"HEALTHPARTNERS, INC.",HealthPartners National PDP,"HealthPartners, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2468,PDP,CALIFORNIA PHYSICIANS SERVICE,Blue Shield of California,California Physicians' Service,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2668,PDP,MEMBERS HEALTH INSURANCE COMPANY,Farm Bureau Health Plans,Tennessee Rural Health Improvement Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2874,PDP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,2,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2893,PDP,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Blue MedicareRx,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3389,PDP,"UPMC HEALTH BENEFITS, INC.",UPMC Health Plan,UPMC Health System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3521,PDP,"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3875,PDP,GRANITE ALLIANCE INSURANCE COMPANY,Granite Alliance,"Veridicus Health, LLC",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,Not enough data available,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3994,PDP,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSAs Medicare Rx Plan,Hawaii Medical Service Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4054,PDP,HOMETOWN HEALTH PLAN,Senior Care Plus,Renown Health,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4219,PDP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medicare Prescription Plan,The Carle Foundation,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4501,PDP,INDEPENDENT HEALTH BENEFITS CORPORATION,Pharmacy Benefit Dimensions PDP,"Independent Health Association, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4607,PDP,MERIT HEALTH INSURANCE COMPANY,Magellan Rx Medicare,"Magellan Health, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4802,PDP,"WELLCARE PRESCRIPTION INSURANCE, INC.",WellCare,"WellCare Health Plans, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5450,PDP,"SECURITYCARE OF TENNESSEE, INC.",SecurityCare of Tennessee,BlueCross BlueShield of Tennessee,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5540,PDP,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5552,PDP,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5584,PDP,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan Mutual Insuranc,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5588,PDP,PARAMOUNT INSURANCE COMPANY,Paramount Prescription Drug Plan,Promedica Health System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5593,PDP,HM HEALTH INSURANCE COMPANY,HM Health Insurance Company,Highmark Health,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5596,PDP,"ANTHEM INSURANCE COMPANIES, INC.",Blue MedicareRx,Anthem Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5601,PDP,SILVERSCRIPT INSURANCE COMPANY,SilverScript,CVS Health Corporation,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5609,PDP,ASURIS NORTHWEST HEALTH,Asuris Northwest Health,"Cambia Health Solutions, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5617,PDP,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna-HealthSpring Rx,CIGNA,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5660,PDP,MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY,Express Scripts Medicare,Express Scripts Holding Company,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5715,PDP,HCSC INSURANCE SERVICES COMPANY,"HISC - Blue Cross Blue Shield of IL, NM, OK, TX",Health Care Service Corporation,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5726,PDP,BLUE CROSS AND BLUE SHIELD OF KANSAS,Blue MedicareRx,Blue Cross Blue Shield of Kansas,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5743,PDP,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY",MedicareBlue Rx,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5753,PDP,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,WPS Health Insurance,Wisconsin Physicians Service Ins Corporation.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5768,PDP,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY,First Health Part D,Aetna Inc.,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
