2018 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,2018 Part C Summary,2018 Part D Summary,2018 Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1737,Local CCP,Health Alliance Medicare,"Health Alliance - Midwest, Inc.",The Carle Foundation,No,3,4.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1777,Local CCP,ArchCare Advantage,"Catholic Special Needs Plan, Llc",Catholic Health Care System,Yes,4,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1787,Local CCP,Great Plains Medicare Advantage,"Good Samaritan Insurance Plan Of South Dakota, Inc","Good Samaritan Insurance Plan, LLC",Yes,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1846,Local CCP,MediGold,Mount Carmel Health Insurance Company,Trinity Health,No,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1894,Local CCP,AMERIGROUP,"Amerigroup Washington, Inc.",Anthem Inc.,Yes,3,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1944,Local CCP,UnitedHealthcare,"Unitedhealthcare Of New England, Inc.","UnitedHealth Group, Inc.",No,4.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1951,Local CCP,"Humana Health Benefit Plan of Louisiana, Inc.","Humana Health Benefit Plan Of Louisiana, Inc.",Humana Inc.,Yes,4,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1961,Local CCP,Peoples Health,"Peoples Health, Inc.","PH Holdings, LLC",Yes,4.5,5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1969,Local CCP,Regence BlueShield of Idaho,Regence Blueshield Of Idaho,"Cambia Health Solutions, Inc.",No,3,4.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1977,Demo,Upper Peninsula Health Plan (UPHP) MI Health Link,"Upper Peninsula Health Plan, Llc","DLP Marquette General Hospital, LLC",No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1994,Local CCP,SelectHealth,"Selecthealth, Inc.","Intermountain Health Care, Inc.",No,4,4.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1997,Local CCP,Regence BlueShield,Regence Blueshield,"Cambia Health Solutions, Inc.",No,4,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2001,Local CCP,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",No,4.5,5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
